,Time,PPG
0,0.0,1230
1,0.02,1270
2,0.04,1338
3,0.06,1444
4,0.08,1648
5,0.1,1941
6,0.12,2270
7,0.14,2589
8,0.16,2834
9,0.18,2935
10,0.2,2846
11,0.22,2724
12,0.24,2606
13,0.26,2448
14,0.28,2277
15,0.3,2112
16,0.32,1981
17,0.34,1901
18,0.36,1840
19,0.38,1808
20,0.4,1776
21,0.42,2126
22,0.44,2416
23,0.46,2549
24,0.48,2549
25,0.5,2480
26,0.52,2410
27,0.54,2389
28,0.56,2478
29,0.58,2667
30,0.6,2887
31,0.62,3040
32,0.64,3027
33,0.66,2836
34,0.68,2589
35,0.7000000000000001,2300
36,0.72,2014
37,0.74,1774
38,0.76,1613
39,0.78,1551
40,0.8,1573
41,0.8200000000000001,1664
42,0.84,1775
43,0.86,1867
44,0.88,1922
45,0.9,1933
46,0.92,1910
47,0.9400000000000001,1843
48,0.96,1671
49,0.98,1514
50,1.0,1493
51,1.02,1673
52,1.04,1995
53,1.06,2374
54,1.08,2709
55,1.1,2919
56,1.12,2891
57,1.1400000000000001,2674
58,1.16,2398
59,1.18,2134
60,1.2,1904
61,1.22,1737
62,1.24,1653
63,1.26,1646
64,1.28,1680
65,1.3,1756
66,1.32,1801
67,1.34,1781
68,1.36,1696
69,1.3800000000000001,1600
70,1.4000000000000001,1491
71,1.42,1387
72,1.44,1280
73,1.46,1273
74,1.48,1442
75,1.5,1775
76,1.52,2190
77,1.54,2551
78,1.56,2782
79,1.58,2779
80,1.6,2576
81,1.62,2293
82,1.6400000000000001,1984
83,1.6600000000000001,1717
84,1.68,1520
85,1.7,1422
86,1.72,1414
87,1.74,1476
88,1.76,1558
89,1.78,1616
90,1.8,1647
91,1.82,1661
92,1.84,1633
93,1.86,1577
94,1.8800000000000001,1515
95,1.9000000000000001,1551
96,1.92,1577
97,1.94,1631
98,1.96,1773
99,1.98,2038
100,2.0,2343
101,2.02,2583
102,2.04,2724
103,2.06,2712
104,2.08,2526
105,2.1,2256
106,2.12,1955
107,2.14,1698
108,2.16,1506
109,2.18,1413
110,2.2,1398
111,2.22,1443
112,2.24,1500
113,2.2600000000000002,1552
114,2.2800000000000002,1563
115,2.3000000000000003,1572
116,2.32,1557
117,2.34,1490
118,2.36,1437
119,2.38,1408
120,2.4,1530
121,2.42,1891
122,2.44,2431
123,2.46,3161
124,2.48,4095
125,2.5,4095
126,2.52,4095
127,2.54,3325
128,2.56,2471
129,2.58,1792
130,2.6,1190
131,2.62,776
132,2.64,576
133,2.66,592
134,2.68,794
135,2.7,1101
136,2.72,1467
137,2.74,1840
138,2.7600000000000002,2112
139,2.7800000000000002,2179
140,2.8000000000000003,2059
141,2.82,1850
142,2.84,1399
143,2.86,901
144,2.88,651
145,2.9,778
146,2.92,1003
147,2.94,1375
148,2.96,1918
149,2.98,2395
150,3.0,2643
151,3.02,3199
152,3.04,3521
153,3.06,3216
154,3.08,2677
155,3.1,2192
156,3.12,1737
157,3.14,1323
158,3.16,966
159,3.18,709
160,3.2,574
161,3.22,528
162,3.24,576
163,3.2600000000000002,759
164,3.2800000000000002,1094
165,3.3000000000000003,1475
166,3.3200000000000003,1793
167,3.34,1996
168,3.36,2249
169,3.38,2414
170,3.4,2397
171,3.42,2210
172,3.44,1990
173,3.46,1877
174,3.48,1894
175,3.5,1970
176,3.52,2058
177,3.54,2083
178,3.56,2041
179,3.58,1922
180,3.6,1710
181,3.62,1446
182,3.64,1171
183,3.66,924
184,3.68,736
185,3.7,561
186,3.72,432
187,3.74,407
188,3.7600000000000002,457
189,3.7800000000000002,518
190,3.8000000000000003,566
191,3.8200000000000003,629
192,3.84,736
193,3.86,871
194,3.88,989
195,3.9,1095
196,3.92,1205
197,3.94,1349
198,3.96,1618
199,3.98,2011
200,4.0,2496
201,4.0200000000000005,3045
202,4.04,3595
203,4.0600000000000005,3790
204,4.08,3446
205,4.1,2990
206,4.12,2582
207,4.14,2256
208,4.16,2001
209,4.18,1861
210,4.2,1819
211,4.22,1850
212,4.24,1920
213,4.26,1974
214,4.28,1973
215,4.3,1935
216,4.32,1872
217,4.34,1802
218,4.36,1713
219,4.38,1609
220,4.4,1502
221,4.42,1398
222,4.44,1300
223,4.46,1289
224,4.48,1424
225,4.5,1729
226,4.5200000000000005,2112
227,4.54,2421
228,4.5600000000000005,2582
229,4.58,2544
230,4.6000000000000005,2349
231,4.62,2066
232,4.64,1757
233,4.66,1477
234,4.68,1306
235,4.7,1266
236,4.72,1360
237,4.74,1500
238,4.76,1616
239,4.78,1706
240,4.8,1820
241,4.82,1871
242,4.84,1904
243,4.86,1968
244,4.88,2000
245,4.9,1959
246,4.92,1855
247,4.94,1727
248,4.96,1569
249,4.98,1422
250,5.0,1387
251,5.0200000000000005,1488
252,5.04,1679
253,5.0600000000000005,1843
254,5.08,1902
255,5.1000000000000005,1822
256,5.12,1631
257,5.14,1376
258,5.16,1119
259,5.18,907
260,5.2,768
261,5.22,731
262,5.24,801
263,5.26,941
264,5.28,1113
265,5.3,1269
266,5.32,1373
267,5.34,1425
268,5.36,1438
269,5.38,1434
270,5.4,1403
271,5.42,1346
272,5.44,1286
273,5.46,1251
274,5.48,1241
275,5.5,1289
276,5.5200000000000005,1437
277,5.54,1696
278,5.5600000000000005,1979
279,5.58,2221
280,5.6000000000000005,2320
281,5.62,2276
282,5.64,2115
283,5.66,1904
284,5.68,1671
285,5.7,1485
286,5.72,1359
287,5.74,1296
288,5.76,1299
289,5.78,1296
290,5.8,1343
291,5.82,1376
292,5.84,1381
293,5.86,1371
294,5.88,1364
295,5.9,1391
296,5.92,1417
297,5.94,1449
298,5.96,1483
299,5.98,1521
300,6.0,1575
301,6.0200000000000005,1631
302,6.04,1731
303,6.0600000000000005,1858
304,6.08,1945
305,6.1000000000000005,1990
306,6.12,2000
307,6.140000000000001,1951
308,6.16,1849
309,6.18,1712
310,6.2,1562
311,6.22,1445
312,6.24,1392
313,6.26,1390
314,6.28,1408
315,6.3,1435
316,6.32,1467
317,6.34,1499
318,6.36,1491
319,6.38,1454
320,6.4,1383
321,6.42,1315
322,6.44,1247
323,6.46,1164
324,6.48,1072
325,6.5,1013
326,6.5200000000000005,1050
327,6.54,1191
328,6.5600000000000005,1343
329,6.58,1414
330,6.6000000000000005,1425
331,6.62,1416
332,6.640000000000001,1405
333,6.66,1373
334,6.68,1277
335,6.7,1147
336,6.72,1008
337,6.74,967
338,6.76,1083
339,6.78,1298
340,6.8,1527
341,6.82,1699
342,6.84,1776
343,6.86,1792
344,6.88,1789
345,6.9,1791
346,6.92,1796
347,6.94,1825
348,6.96,1875
349,6.98,1926
350,7.0,1934
351,7.0200000000000005,1938
352,7.04,1961
353,7.0600000000000005,2000
354,7.08,2032
355,7.1000000000000005,2017
356,7.12,1952
357,7.140000000000001,1857
358,7.16,1781
359,7.18,1697
360,7.2,1575
361,7.22,1443
362,7.24,1341
363,7.26,1246
364,7.28,1169
365,7.3,1115
366,7.32,1066
367,7.34,1056
368,7.36,1061
369,7.38,1087
370,7.4,1130
371,7.42,1126
372,7.44,1076
373,7.46,1018
374,7.48,991
375,7.5,1008
376,7.5200000000000005,1072
377,7.54,1168
378,7.5600000000000005,1279
379,7.58,1347
380,7.6000000000000005,1362
381,7.62,1335
382,7.640000000000001,1293
383,7.66,1165
384,7.68,941
385,7.7,654
386,7.72,330
387,7.74,82
388,7.76,0
389,7.78,0
390,7.8,0
391,7.82,82
392,7.84,369
393,7.86,737
394,7.88,1081
395,7.9,1329
396,7.92,1481
397,7.94,1587
398,7.96,1661
399,7.98,1715
400,8.0,1822
401,8.02,2033
402,8.040000000000001,2314
403,8.06,2577
404,8.08,2701
405,8.1,2671
406,8.120000000000001,2586
407,8.14,2582
408,8.16,2685
409,8.18,2787
410,8.2,2750
411,8.22,2551
412,8.24,2255
413,8.26,1985
414,8.28,1871
415,8.3,1852
416,8.32,1836
417,8.34,1806
418,8.36,1806
419,8.38,1805
420,8.4,1775
421,8.42,1767
422,8.44,1834
423,8.46,1969
424,8.48,2175
425,8.5,2457
426,8.52,2786
427,8.540000000000001,3056
428,8.56,3066
429,8.58,2831
430,8.6,2491
431,8.620000000000001,2115
432,8.64,1751
433,8.66,1460
434,8.68,1283
435,8.700000000000001,1276
436,8.72,1425
437,8.74,1622
438,8.76,1770
439,8.78,1845
440,8.8,1813
441,8.82,1710
442,8.84,1578
443,8.86,1478
444,8.88,1456
445,8.9,1486
446,8.92,1520
447,8.94,1606
448,8.96,1797
449,8.98,2149
450,9.0,2592
451,9.02,3025
452,9.040000000000001,3339
453,9.06,3327
454,9.08,2983
455,9.1,2557
456,9.120000000000001,2146
457,9.14,1801
458,9.16,1552
459,9.18,1401
460,9.200000000000001,1313
461,9.22,1307
462,9.24,1344
463,9.26,1399
464,9.28,1465
465,9.3,1535
466,9.32,1600
467,9.34,1625
468,9.36,1616
469,9.38,1600
470,9.4,1602
471,9.42,1701
472,9.44,1960
473,9.46,2341
474,9.48,2706
475,9.5,2935
476,9.52,2913
477,9.540000000000001,2674
478,9.56,2350
479,9.58,2000
480,9.6,1699
481,9.620000000000001,1485
482,9.64,1360
483,9.66,1348
484,9.68,1408
485,9.700000000000001,1520
486,9.72,1664
487,9.74,1786
488,9.76,1857
489,9.78,1873
490,9.8,1851
491,9.82,1802
492,9.84,1744
493,9.86,1687
494,9.88,1687
495,9.9,1822
496,9.92,2102
497,9.94,2423
498,9.96,2672
499,9.98,2745
500,10.0,2624
501,10.02,2367
502,10.040000000000001,2039
503,10.06,1706
504,10.08,1406
505,10.1,1229
506,10.120000000000001,1152
507,10.14,1169
508,10.16,1244
509,10.18,1335
510,10.200000000000001,1422
511,10.22,1477
512,10.24,1497
513,10.26,1498
514,10.28,1498
515,10.3,1490
516,10.32,1488
517,10.34,1535
518,10.36,1669
519,10.38,1935
520,10.4,2320
521,10.42,2723
522,10.44,3029
523,10.46,3045
524,10.48,2770
525,10.5,2414
526,10.52,2064
527,10.540000000000001,1742
528,10.56,1505
529,10.58,1360
530,10.6,1323
531,10.620000000000001,1376
532,10.64,1491
533,10.66,1617
534,10.68,1715
535,10.700000000000001,1765
536,10.72,1787
537,10.74,1766
538,10.76,1725
539,10.78,1680
540,10.8,1648
541,10.82,1703
542,10.84,1913
543,10.86,2321
544,10.88,2855
545,10.9,3464
546,10.92,3758
547,10.94,3525
548,10.96,3035
549,10.98,2590
550,11.0,2199
551,11.02,1871
552,11.040000000000001,1621
553,11.06,1504
554,11.08,1530
555,11.1,1650
556,11.120000000000001,1776
557,11.14,1876
558,11.16,1931
559,11.18,1934
560,11.200000000000001,1915
561,11.22,1882
562,11.24,1825
563,11.26,1767
564,11.28,1730
565,11.3,1819
566,11.32,2101
567,11.34,2534
568,11.36,3053
569,11.38,3513
570,11.4,3597
571,11.42,3258
572,11.44,2787
573,11.46,2384
574,11.48,2023
575,11.5,1726
576,11.52,1521
577,11.540000000000001,1454
578,11.56,1504
579,11.58,1646
580,11.6,1776
581,11.620000000000001,1857
582,11.64,1890
583,11.66,1873
584,11.68,1824
585,11.700000000000001,1755
586,11.72,1671
587,11.74,1593
588,11.76,1559
589,11.78,1673
590,11.8,1984
591,11.82,2435
592,11.84,2924
593,11.86,3319
594,11.88,3332
595,11.9,3003
596,11.92,2590
597,11.94,2167
598,11.96,1767
599,11.98,1441
600,12.0,1263
601,12.02,1211
602,12.040000000000001,1275
603,12.06,1406
604,12.08,1549
605,12.1,1645
606,12.120000000000001,1691
607,12.14,1703
608,12.16,1676
609,12.18,1609
610,12.200000000000001,1518
611,12.22,1424
612,12.24,1351
613,12.26,1407
614,12.280000000000001,1637
615,12.3,1931
616,12.32,2153
617,12.34,2161
618,12.36,1920
619,12.38,1571
620,12.4,1296
621,12.42,1019
622,12.44,615
623,12.46,128
624,12.48,0
625,12.5,0
626,12.52,467
627,12.540000000000001,1910
628,12.56,4095
629,12.58,4095
630,12.6,4095
631,12.620000000000001,4095
632,12.64,4095
633,12.66,4095
634,12.68,4095
635,12.700000000000001,4095
636,12.72,4095
637,12.74,4095
638,12.76,4095
639,12.780000000000001,4095
640,12.8,2976
641,12.82,0
642,12.84,0
643,12.86,0
644,12.88,0
645,12.9,0
646,12.92,0
647,12.94,0
648,12.96,0
